target,trial,seed,control_tested,control_novel,control_rate,control_wall_s,genetic_tested,genetic_novel,genetic_rate,genetic_wall_s,delta_pp
zeta3,1,42,320,23,7.187,9.785,320,28,8.75,9.72,1.563
zeta3,2,1042,320,35,10.938,10.612,320,31,9.688,9.683,-1.25
zeta3,3,2042,320,31,9.688,11.883,320,32,10.0,9.213,0.312
pi,1,42,320,29,9.062,9.741,320,33,10.312,10.621,1.25
pi,2,1042,320,31,9.688,10.346,320,41,12.812,10.197,3.124
pi,3,2042,320,39,12.188,13.494,320,44,13.75,11.197,1.562
e,1,42,320,35,10.938,10.549,320,48,15.0,10.937,4.062
e,2,1042,320,41,12.812,10.813,320,38,11.875,12.782,-0.937
e,3,2042,320,40,12.5,9.748,320,42,13.125,10.034,0.625
log2,1,42,320,39,12.188,10.921,320,37,11.562,9.943,-0.626
log2,2,1042,320,38,11.875,9.953,320,39,12.188,11.841,0.313
log2,3,2042,320,40,12.5,9.488,320,42,13.125,10.394,0.625
